ticker_symbol,percentage_change,stability_deviation,fft_predictability,mean_stock_difference,var_stock_difference
AAWW,51.00541376643466,0.14841774481767203,5156.9359368259975,0.00032923241914668675,0.026038254220310596
AAXN,692.3929663608563,0.39622761860706973,5316.581722602079,0.001951680573042775,0.025649588497105733
AB,91.17934602873655,0.1180421034245532,5232.38568201511,0.0005343611205952595,0.004656779313925259
ABAC,-5.927536231884025,1.009208488199226,5444.4685839804715,-1.8026549210101872e-05,0.010946500471194548
ABAX,112.76741306827569,0.20153030067510322,5501.109834774952,0.0007028071291700421,0.026526391357845038
ABB,21.457923911094813,0.08857283055961383,5226.62949998175,0.00015966186837477277,0.0027890340003763167
ABBV,153.16259970568177,0.12691220410158327,5364.415211422092,0.00076159390938032,0.02347623779631284
ABC,45.75907040349851,0.22009526004050928,5349.2803400235625,0.00025576187648246264,0.01821610502087594
ABCB,160.68523574486778,0.11251072206967112,5274.542077289508,0.0007218107341440724,0.008899744070745091
ABCD,870.5570291777188,0.32640465195258683,5516.38096657116,0.0018936757581901568,0.00647061743208818
ABCO,-9.577449002465812,0.15825990248390895,4487.333369887085,-0.00011810259907201545,0.02502151482383431
ABCW,9.997701677775211,0.03783111061791519,311.2786913397829,0.0012762704826819872,0.005152222620941842
ABDC,-35.8659130102528,0.17697538346510153,4492.902107007627,-0.0003452998348892565,0.002550804338452222
ABEO,-34.732824427480914,0.4975875027166089,4979.619379870461,-0.0007035201661001841,0.048204248253361524
ABEOW,255.7486631016042,0.47820595709737007,2732.3497604579693,0.0019818782729597996,0.055255475962370716
ABEV,-19.22572521409635,0.09907564128619799,5324.370821549545,-0.0001626491207924185,0.0017069931872167477
ABFS,96.64020301670934,0.06474301301855148,851.639854591424,0.0030503682212485285,0.022226570884985666
ABG,40.16831941544884,0.16366844704678912,5328.481416196479,0.0002717429488935169,0.02585086929140294
ABGB,-16.393442622950815,0.2650650645472295,316.25738791917263,-0.0025985378692152178,0.012120070805029864
